id,page,original_catalog_page,collection,section,product,sku,size,thickness,finish,unit,price,price_pl,price_npl,confidence
34,3,6,Alchemy,accessories: bullnose and step treads,Frozen,AFYX,33x80 cm,,,€/pz,142.9,,,medium
35,3,6,Alchemy,accessories: bullnose and step treads,Frozen,AFY3,33x33 cm,,,€/pz,135.1,,,medium
36,3,6,Alchemy,accessories: bullnose and step treads,Argent,AFXW,"7,2x80 cm",,,€/pz,17.55,,,medium
37,3,6,Alchemy,accessories: bullnose and step treads,Argent,AFYT,33x120 cm,,,€/pz,228.6,,,medium
38,3,6,Alchemy,accessories: bullnose and step treads,Argent,AFYY,33x80 cm,,,€/pz,142.9,,,medium
39,3,6,Alchemy,accessories: bullnose and step treads,Argent,AFY4,33x33 cm,,,€/pz,135.1,,,medium
40,3,6,Alchemy,accessories: bullnose and step treads,Magnet,AFX0,"7,2x80 cm",,,€/pz,17.55,,,medium
41,3,6,Alchemy,accessories: bullnose and step treads,Magnet,AFYW,33x120 cm,,,€/pz,228.6,,,medium
42,3,6,Alchemy,accessories: bullnose and step treads,Magnet,AFY2,33x80 cm,,,€/pz,142.9,,,medium
43,3,6,Alchemy,accessories: bullnose and step treads,Magnet,AFY8,33x33 cm,,,€/pz,135.1,,,medium
44,3,6,Alchemy,accessories: bullnose and step treads,Navy,AFXZ,"7,2x80 cm",,,€/pz,17.55,,,medium
45,3,6,Alchemy,accessories: bullnose and step treads,Navy,AFYV,33x120 cm,,,€/pz,228.6,,,medium
46,3,6,Alchemy,accessories: bullnose and step treads,Navy,AFY1,33x80 cm,,,€/pz,142.9,,,medium
47,3,6,Alchemy,accessories: bullnose and step treads,Navy,AFY7,33x33 cm,,,€/pz,135.1,,,medium
48,3,6,Alchemy,accessories: bullnose and step treads,Copper,AFXX,"7,2x80 cm",,,€/pz,17.55,,,medium
49,3,6,Alchemy,accessories: bullnose and step treads,Copper,AFYU,33x120 cm,,,€/pz,228.6,,,medium
50,3,6,Alchemy,accessories: bullnose and step treads,Copper,AFYZ,33x80 cm,,,€/pz,142.9,,,medium
51,3,6,Alchemy,accessories: bullnose and step treads,Copper,AFY5,33x33 cm,,,€/pz,135.1,,,medium
52,3,6,Alchemy,accessories: bullnose and step treads,Tc. Mint,AFXY,"7,2x80 cm",,,€/pz,17.55,,,medium
53,3,6,Alchemy,accessories: bullnose and step treads,Tc. Mint,ACF1,"7,2x60 cm",,,€/pz,11.35,,,medium
54,3,6,Alchemy,accessories: bullnose and step treads,Tc. Mint,AbGR,33x120 cm,,,€/pz,228.6,,,medium
55,3,6,Alchemy,accessories: bullnose and step treads,Tc. Mint,AFY0,33x80 cm,,,€/pz,142.9,,,medium
56,3,6,Alchemy,accessories: bullnose and step treads,Tc. Mint,ACF7,33x60 cm,,,€/pz,111.1,,,medium
57,3,6,Alchemy,accessories: bullnose and step treads,Tc. Mint,AFY6,33x33 cm,,,€/pz,135.1,,,medium
58,4,7,Alchemy,decorations and mosaics,Frozen,AFW9,cm 28x34,,,€/mq,402.75,,,medium
59,4,7,Alchemy,decorations and mosaics,Frozen,AFWP,30x30 cm,,,€/mq,168.85,,,medium
60,4,7,Alchemy,decorations and mosaics,Frozen,AFWV,30x30 cm,,,€/mq,376.65,,,medium
61,4,7,Alchemy,decorations and mosaics,Frozen,AFW1,30x30 cm,,,€/mq,376.65,,,medium
62,4,7,Alchemy,decorations and mosaics,Argent,AFXA,cm 28x34,,,€/mq,402.75,,,medium
63,4,7,Alchemy,decorations and mosaics,Argent,AFWQ,30x30 cm,,,€/mq,168.85,,,medium
64,4,7,Alchemy,decorations and mosaics,Argent,AFWW,30x30 cm,,,€/mq,376.65,,,medium
65,4,7,Alchemy,decorations and mosaics,Argent,AFW2,30x30 cm,,,€/mq,376.65,,,medium
66,4,7,Alchemy,decorations and mosaics,Magnet,AFXE,cm 28x34,,,€/mq,402.75,,,medium
67,4,7,Alchemy,decorations and mosaics,Magnet,AFWU,30x30 cm,,,€/mq,168.85,,,medium
68,4,7,Alchemy,decorations and mosaics,Magnet,AFW0,30x30 cm,,,€/mq,376.65,,,medium
69,4,7,Alchemy,decorations and mosaics,Magnet,AFW6,30x30 cm,,,€/mq,376.65,,,medium
70,4,7,Alchemy,decorations and mosaics,Navy,AFXD,cm 28x34,,,€/mq,402.75,,,medium
71,4,7,Alchemy,decorations and mosaics,Navy,AFWT,30x30 cm,,,€/mq,168.85,,,medium
72,4,7,Alchemy,decorations and mosaics,Navy,AFWZ,30x30 cm,,,€/mq,376.65,,,medium
73,4,7,Alchemy,decorations and mosaics,Navy,AFW5,30x30 cm,,,€/mq,376.65,,,medium
74,4,7,Alchemy,decorations and mosaics,Copper,AFXB,cm 28x34,,,€/mq,402.75,,,medium
75,4,7,Alchemy,decorations and mosaics,Copper,AFWR,30x30 cm,,,€/mq,168.85,,,medium
76,4,7,Alchemy,decorations and mosaics,Copper,AFWX,30x30 cm,,,€/mq,376.65,,,medium
77,4,7,Alchemy,decorations and mosaics,Copper,AFW3,30x30 cm,,,€/mq,376.65,,,medium
78,4,7,Alchemy,decorations and mosaics,Tc. Mint,AFXC,cm 28x34,,,€/mq,402.75,,,medium
79,4,7,Alchemy,decorations and mosaics,Tc. Mint,AFWS,30x30 cm,,,€/mq,168.85,,,medium
80,4,7,Alchemy,decorations and mosaics,Tc. Mint,AFWY,30x30 cm,,,€/mq,376.65,,,medium
81,4,7,Alchemy,decorations and mosaics,Tc. Mint,AFW4,30x30 cm,,,€/mq,376.65,,,medium
82,4,7,Alchemy,decorations and mosaics,Tc. Mint,ACFK,30x30 cm,,,€/mq,273.65,,,medium
83,4,7,Alchemy,decorations and mosaics,Navy,AFW7,20x20 cm,,,€/mq,155.9,,,medium
84,4,7,Alchemy,decorations and mosaics,Copper,AFW8,20x20 cm,,,€/mq,155.9,,,medium
85,4,7,Alchemy,decorations and mosaics,Tc. Mint,AEQ4,60x60 cm,,,€/mq,93.7,,,medium
86,4,7,Alchemy,decorations and mosaics,Tc. Mint,ACDD,30x30 cm,,,€/mq,104.2,,,medium
87,5,14,CiViC,CiViC Cross,Sable,AIGA,,9 mm,"Matt
RT R10 B",€/mq,,78.3,88.1,low
88,5,14,CiViC,CiViC Cross,Sable,AIFN,,9 mm,"Matt
RT R10 B",€/mq,,65.5,73.7,low
89,5,14,CiViC,CiViC Cross,Sable,AIFS,,,"Grip
RT R11 C",€/mq,,68.7,77.3,low
90,5,14,CiViC,CiViC Cross,Sable,AIJB,,9 mm,"Matt
RT R10 B",€/mq,,64.2,72.25,low
91,5,14,CiViC,CiViC Cross,Plinth,AIGC,,9 mm,"Matt
RT R10 B",€/mq,,78.3,88.1,low
92,5,14,CiViC,CiViC Cross,Plinth,AIFP,,9 mm,"Matt
RT R10 B",€/mq,,65.5,73.7,low
93,5,14,CiViC,CiViC Cross,Plinth,AIFU,,,"Grip
RT R11 C",€/mq,,68.7,77.3,low
94,5,14,CiViC,CiViC Cross,Plinth,AIJC,,9 mm,"Matt
RT R10 B",€/mq,,64.2,72.25,low
95,5,14,CiViC,CiViC Cross,Fusion,AIGB,,9 mm,"Matt
RT R10 B",€/mq,,78.3,88.1,low
96,5,14,CiViC,CiViC Cross,Fusion,AIFO,,9 mm,"Matt
RT R10 B",€/mq,,65.5,73.7,low
97,5,14,CiViC,CiViC Cross,Fusion,AIFT,,,"Grip
RT R11 C",€/mq,,68.7,77.3,low
98,5,14,CiViC,CiViC Cross,Clear,AIF9,,9 mm,"Matt
RT R10 B",€/mq,,80.85,90.95,low
99,5,14,CiViC,CiViC Cross,Clear,AIFM,,9 mm,"Matt
RT R10 B",€/mq,,68.4,76.95,low
100,5,14,CiViC,CiViC Cross,Clear,AIFR,,,"Grip
RT R11 C",€/mq,,72.75,81.85,low
101,5,14,CiViC,CiViC Cross,Clear,AIJA,,9 mm,"Matt
RT R10 B",€/mq,,67.5,75.95,low
102,5,14,CiViC,CiViC Cross,Silent,AIGD,,9 mm,"Matt
RT R10 B",€/mq,,80.85,90.95,low
103,5,14,CiViC,CiViC Cross,Silent,AIFQ,,9 mm,"Matt
RT R10 B",€/mq,,68.4,76.95,low
104,5,14,CiViC,CiViC Cross,Silent,AIFV,,,"Grip
RT R11 C",€/mq,,72.75,81.85,low
105,6,15,CiViC,CiViC Cross additional sizes / Aextra20,Sable,AIEY,30x60 cm,9 mm,"Matt
RT R10 B",€/mq,,54.2,61.0,medium
106,6,15,CiViC,CiViC Cross additional sizes / Aextra20,Sable,AIE7,120x120 cm,9 mm,"Matt
RT R10 B",€/mq,,46.0,51.75,medium
107,6,15,CiViC,CiViC Cross additional sizes / Aextra20,Sable,AIGJ,60x120 cm,20 mm,"Aextra20
RT R11 C",€/mq,,135.0,155.25,medium
108,6,15,CiViC,CiViC Cross additional sizes / Aextra20,Sable,AIGQ,60x60 cm,20 mm,"Aextra20
RT R11 C",€/mq,,108.5,124.75,medium
109,6,15,CiViC,CiViC Cross additional sizes / Aextra20,Sable,AIGM,,20 mm,"Aextra20
RT R11 C",€/mq,,93.0,106.95,low
110,6,15,CiViC,CiViC Cross additional sizes / Aextra20,Plinth,AIE0,30x60 cm,9 mm,"Matt
RT R10 B",€/mq,,54.2,61.0,medium
111,6,15,CiViC,CiViC Cross additional sizes / Aextra20,Plinth,AIE9,120x120 cm,9 mm,"Matt
RT R10 B",€/mq,,46.0,51.75,medium
112,6,15,CiViC,CiViC Cross additional sizes / Aextra20,Plinth,AIGK,60x120 cm,20 mm,"Aextra20
RT R11 C",€/mq,,135.0,155.25,medium
113,6,15,CiViC,CiViC Cross additional sizes / Aextra20,Plinth,AIGS,60x60 cm,20 mm,"Aextra20
RT R11 C",€/mq,,108.5,124.75,medium
114,6,15,CiViC,CiViC Cross additional sizes / Aextra20,Plinth,AIGN,,20 mm,"Aextra20
RT R11 C",€/mq,,93.0,106.95,low
115,6,15,CiViC,CiViC Cross additional sizes / Aextra20,Fusion,AIEZ,30x60 cm,9 mm,"Matt
RT R10 B",€/mq,,54.2,61.0,medium
116,6,15,CiViC,CiViC Cross additional sizes / Aextra20,Fusion,AIE8,120x120 cm,9 mm,"Matt
RT R10 B",€/mq,,46.0,51.75,medium
117,6,15,CiViC,CiViC Cross additional sizes / Aextra20,Clear,AIEX,30x60 cm,9 mm,"Matt
RT R10 B",€/mq,,56.95,64.05,medium
118,6,15,CiViC,CiViC Cross additional sizes / Aextra20,Clear,AIE6,120x120 cm,9 mm,"Matt
RT R10 B",€/mq,,48.2,54.25,medium
119,6,15,CiViC,CiViC Cross additional sizes / Aextra20,Silent,AIE1,30x60 cm,9 mm,"Matt
RT R10 B",€/mq,,56.95,64.05,medium
120,6,15,CiViC,CiViC Cross additional sizes / Aextra20,Silent,AIFA,120x120 cm,9 mm,"Matt
RT R10 B",€/mq,,48.2,54.25,medium
121,7,16,CiViC,CiViC Vein,Sable,AIGF,60x120 cm,6 mm,"Matt
RT R9",€/mq,,108.15,118.95,medium
122,7,16,CiViC,CiViC Vein,Sable,AIFX,,9 mm,"Matt
RT R10 B",€/mq,,65.5,73.7,low
123,7,16,CiViC,CiViC Vein,Plinth,AIGG,60x120 cm,6 mm,"Matt
RT R9",€/mq,,108.15,118.95,medium
124,7,16,CiViC,CiViC Vein,Plinth,AIFZ,,9 mm,"Matt
RT R10 B",€/mq,,65.5,73.7,low
125,7,16,CiViC,CiViC Vein,Fusion,AIFY,,9 mm,"Matt
RT R10 B",€/mq,,65.5,73.7,low
126,7,16,CiViC,CiViC Vein,Clear,AIGE,60x120 cm,6 mm,"Matt
RT R9",€/mq,,111.0,122.1,medium
127,7,16,CiViC,CiViC Vein,Clear,AIFW,,9 mm,"Matt
RT R10 B",€/mq,,68.4,76.95,low
128,7,16,CiViC,CiViC Vein,Silent,AIF0,,9 mm,"Matt
RT R10 B",€/mq,,68.4,76.95,low
129,8,17,CiViC,CiViC Chips,Sable,AIF5,60x120 cm,9 mm,"Matt
RT R10 B",€/mq,,78.3,88.1,medium
130,8,17,CiViC,CiViC Chips,Sable,AIXZ,60x60 cm,9 mm,"Matt
RT R10 B",€/mq,,65.5,73.7,medium
131,8,17,CiViC,CiViC Chips,Sable,AIFC,60x120 cm,9 mm,"Matt
RT R10 B",€/mq,,54.2,61.0,medium
132,8,17,CiViC,CiViC Chips,Sable,AIVT,60x60 cm,20 mm,"Aextra20
RT R11 C",€/mq,,108.5,124.75,medium
133,8,17,CiViC,CiViC Chips,Sable,AIGO,,20 mm,"Aextra20
RT R11 C",€/mq,,93.0,106.95,low
134,8,17,CiViC,CiViC Chips,Plinth,AIF7,60x120 cm,9 mm,"Matt
RT R10 B",€/mq,,78.3,88.1,medium
135,8,17,CiViC,CiViC Chips,Plinth,AIX0,60x60 cm,9 mm,"Matt
RT R10 B",€/mq,,65.5,73.7,medium
136,8,17,CiViC,CiViC Chips,Plinth,AIFF,60x120 cm,9 mm,"Matt
RT R10 B",€/mq,,54.2,61.0,medium
137,8,17,CiViC,CiViC Chips,Plinth,AIVU,60x60 cm,20 mm,"Aextra20
RT R11 C",€/mq,,108.5,124.75,medium
138,8,17,CiViC,CiViC Chips,Plinth,AIGP,,20 mm,"Aextra20
RT R11 C",€/mq,,93.0,106.95,low
139,8,17,CiViC,CiViC Chips,Fusion,AIF6,60x120 cm,9 mm,"Matt
RT R10 B",€/mq,,78.3,88.1,medium
140,8,17,CiViC,CiViC Chips,Fusion,AcxW,60x60 cm,9 mm,"Matt
RT R10 B",€/mq,,65.5,73.7,medium
141,8,17,CiViC,CiViC Chips,Fusion,AIFD,60x120 cm,9 mm,"Matt
RT R10 B",€/mq,,54.2,61.0,medium
142,8,17,CiViC,CiViC Chips,Clear,AIF4,60x120 cm,9 mm,"Matt
RT R10 B",€/mq,,80.85,90.95,medium
143,8,17,CiViC,CiViC Chips,Clear,AIXY,60x60 cm,9 mm,"Matt
RT R10 B",€/mq,,68.4,76.95,medium
144,8,17,CiViC,CiViC Chips,Clear,AIFB,60x120 cm,9 mm,"Matt
RT R10 B",€/mq,,56.95,64.05,medium
145,8,17,CiViC,CiViC Chips,Silent,AIF8,60x120 cm,9 mm,"Matt
RT R10 B",€/mq,,80.85,90.95,medium
146,8,17,CiViC,CiViC Chips,Silent,AIX1,60x60 cm,9 mm,"Matt
RT R10 B",€/mq,,68.4,76.95,medium
147,8,17,CiViC,CiViC Chips,Silent,AIFG,60x120 cm,9 mm,"Matt
RT R10 B",€/mq,,56.95,64.05,medium
148,9,18,CiViC,CiViC Multicolor,Warm,AIX2,60x60 cm,9 mm,"Matt
RT R10 B",€/mq,,68.8,77.4,medium
149,9,18,CiViC,CiViC Multicolor,Warm,AIE2,30x30 cm,9 mm,"Matt
RT R10 B",€/mq,,56.9,64.0,medium
150,9,18,CiViC,CiViC Multicolor,Warm,AIFH,,9 mm,"Matt
RT R10 B",€/mq,,76.9,86.5,low
151,9,18,CiViC,CiViC Multicolor,White,AIX3,60x60 cm,9 mm,"Matt
RT R10 B",€/mq,,68.8,77.4,medium
152,9,18,CiViC,CiViC Multicolor,White,AIE3,30x30 cm,9 mm,"Matt
RT R10 B",€/mq,,56.9,64.0,medium
153,9,18,CiViC,CiViC Multicolor,White,AIFI,,9 mm,"Matt
RT R10 B",€/mq,,76.9,86.5,low
154,9,18,CiViC,CiViC Multicolor,Cold,AIX4,60x60 cm,9 mm,"Matt
RT R10 B",€/mq,,68.8,77.4,medium
155,9,18,CiViC,CiViC Multicolor,Cold,AIE4,30x30 cm,9 mm,"Matt
RT R10 B",€/mq,,56.9,64.0,medium
156,9,18,CiViC,CiViC Multicolor,Cold,AIFJ,,9 mm,"Matt
RT R10 B",€/mq,,76.9,86.5,low
157,9,18,CiViC,CiViC Multicolor,Black,AIX5,60x60 cm,9 mm,"Matt
RT R10 B",€/mq,,71.8,80.8,medium
158,9,18,CiViC,CiViC Multicolor,Black,AIE5,30x30 cm,9 mm,"Matt
RT R10 B",€/mq,,59.8,67.25,medium
159,9,18,CiViC,CiViC Multicolor,Black,AIFK,,9 mm,"Matt
RT R10 B",€/mq,,79.8,89.75,low
160,10,19,CiViC,CiViC accessories,Sable,AIHD,"7,2x60 cm",,,€/pz,11.45,,,medium
161,10,19,CiViC,CiViC accessories,Sable,AIIG,33x120 cm,,,€/pz,228.6,,,medium
162,10,19,CiViC,CiViC accessories,Sable,AIIB,33x60 cm,,,€/pz,110.55,,,medium
163,10,19,CiViC,CiViC accessories,Sable,AIIL,33x33 cm,,,€/pz,135.1,,,medium
164,10,19,CiViC,CiViC accessories,Plinth,AIHF,"7,2x60 cm",,,€/pz,11.45,,,medium
165,10,19,CiViC,CiViC accessories,Plinth,AIII,33x120 cm,,,€/pz,228.6,,,medium
166,10,19,CiViC,CiViC accessories,Plinth,AIID,33x60 cm,,,€/pz,110.55,,,medium
167,10,19,CiViC,CiViC accessories,Plinth,AIIN,33x33 cm,,,€/pz,135.1,,,medium
168,10,19,CiViC,CiViC accessories,Fusion,AIHE,"7,2x60 cm",,,€/pz,11.45,,,medium
169,10,19,CiViC,CiViC accessories,Fusion,AIIH,33x120 cm,,,€/pz,228.6,,,medium
170,10,19,CiViC,CiViC accessories,Fusion,AIIC,33x60 cm,,,€/pz,110.55,,,medium
171,10,19,CiViC,CiViC accessories,Fusion,AIIM,33x33 cm,,,€/pz,135.1,,,medium
172,10,19,CiViC,CiViC accessories,Clear,AIHC,"7,2x60 cm",,,€/pz,11.45,,,medium
173,10,19,CiViC,CiViC accessories,Clear,AIIF,33x120 cm,,,€/pz,228.6,,,medium
174,10,19,CiViC,CiViC accessories,Clear,AIIA,33x60 cm,,,€/pz,110.55,,,medium
175,10,19,CiViC,CiViC accessories,Clear,AIIK,33x33 cm,,,€/pz,135.1,,,medium
176,10,19,CiViC,CiViC accessories,Silent,AIHG,"7,2x60 cm",,,€/pz,11.45,,,medium
177,10,19,CiViC,CiViC accessories,Silent,AIIJ,33x120 cm,,,€/pz,228.6,,,medium
178,10,19,CiViC,CiViC accessories,Silent,AIIE,33x60 cm,,,€/pz,110.55,,,medium
179,10,19,CiViC,CiViC accessories,Silent,AIIO,33x33 cm,,,€/pz,135.1,,,medium
180,11,20,CiViC,CiViC Straight / Composizione M,Sable,AIHP,60x120 cm,,,€/mq,171.8,,,medium
181,11,20,CiViC,CiViC Straight / Composizione M,Sable,AIHK,30x30 cm,,,€/mq,194.9,,,medium
182,11,20,CiViC,CiViC Straight / Composizione M,Plinth,AIHR,60x120 cm,,,€/mq,171.8,,,medium
183,11,20,CiViC,CiViC Straight / Composizione M,Plinth,AIHM,30x30 cm,,,€/mq,194.9,,,medium
184,11,20,CiViC,CiViC Straight / Composizione M,Fusion,AIHQ,60x120 cm,,,€/mq,171.8,,,medium
185,11,20,CiViC,CiViC Straight / Composizione M,Fusion,AIHL,30x30 cm,,,€/mq,194.9,,,medium
186,11,20,CiViC,CiViC Straight / Composizione M,Clear,AIHO,60x120 cm,,,€/mq,171.8,,,medium
187,11,20,CiViC,CiViC Straight / Composizione M,Clear,AIHJ,30x30 cm,,,€/mq,194.9,,,medium
188,11,20,CiViC,CiViC Straight / Composizione M,Silent,AIHS,60x120 cm,,,€/mq,171.8,,,medium
189,11,20,CiViC,CiViC Straight / Composizione M,Silent,AIHN,30x30 cm,,,€/mq,194.9,,,medium
190,12,21,CiViC,CiViC Circle / Insquare,1. (Clear + Silent),AII4,60x60 cm,,,€/mq,215.0,,,medium
191,12,21,CiViC,CiViC Circle / Insquare,2. (Silent + Clear),AII5,60x60 cm,,,€/mq,215.0,,,medium
192,12,21,CiViC,CiViC Circle / Insquare,3. (Clear + Multicolor White),AII6,60x60 cm,,,€/mq,215.0,,,medium
193,12,21,CiViC,CiViC Circle / Insquare,4. (Sable + Multicolor Warm),AII7,60x60 cm,,,€/mq,215.0,,,medium
194,12,21,CiViC,CiViC Circle / Insquare,5. (Plinth + Multicolor Cold),AII8,60x60 cm,,,€/mq,215.0,,,medium
195,12,21,CiViC,CiViC Circle / Insquare,Clear (Clear + Silent),AIG0,60x60 cm,,,€/mq,66.5,,,medium
196,12,21,CiViC,CiViC Circle / Insquare,Clear (Clear + Silent),AIHH,,,,€/mq,85.0,,,low
197,12,21,CiViC,CiViC Circle / Insquare,Silent (Silent + Clear),AIG1,60x60 cm,,,€/mq,66.5,,,medium
198,12,21,CiViC,CiViC Circle / Insquare,Silent (Silent + Clear),AIHI,,,,€/mq,85.0,,,low
199,14,28,Histoire,Histoire base tiles,Arras,AHS3,,9 mm,"Matt
RT R10 B",€/mq,,63.65,71.6,low
200,14,28,Histoire,Histoire base tiles,Arras,AHS8,,9 mm,"Grip
RT R11 C",€/mq,,66.85,75.2,low
201,14,28,Histoire,Histoire base tiles,Arras,AHTG,,9 mm,"Matt
RT R10 B",€/mq,,53.05,59.7,low
202,14,28,Histoire,Histoire base tiles,Arras,AHTL,,9 mm,"Matt
RT R10 B",€/mq,,44.1,49.6,low
203,14,28,Histoire,Histoire base tiles,Artois,AHS4,,9 mm,"Matt
RT R10 B",€/mq,,63.65,71.6,low
204,14,28,Histoire,Histoire base tiles,Artois,AHS9,,9 mm,"Grip
RT R11 C",€/mq,,66.85,75.2,low
205,14,28,Histoire,Histoire base tiles,Artois,AHTV,,9 mm,"Matt
RT R10 B",€/mq,,62.05,69.85,low
206,14,28,Histoire,Histoire base tiles,Artois,AHTH,,9 mm,"Matt
RT R10 B",€/mq,,53.05,59.7,low
207,14,28,Histoire,Histoire base tiles,Artois,AHTM,,9 mm,"Matt
RT R10 B",€/mq,,44.1,49.6,low
208,14,28,Histoire,Histoire base tiles,Artois,AHT1,,20 mm,"Aextra20
RT R11 C",€/mq,,100.75,113.3,low
209,14,28,Histoire,Histoire base tiles,Artois,AHTY,,20 mm,"Aextra20
RT R11 C",€/mq,,91.9,103.35,low
210,14,28,Histoire,Histoire base tiles,Beaune,AHS5,,9 mm,"Matt
RT R10 B",€/mq,,63.65,71.6,low
211,14,28,Histoire,Histoire base tiles,Beaune,AHTA,,9 mm,"Grip
RT R11 C",€/mq,,66.85,75.2,low
212,14,28,Histoire,Histoire base tiles,Beaune,AHTW,,9 mm,"Matt
RT R10 B",€/mq,,62.05,69.85,low
213,14,28,Histoire,Histoire base tiles,Beaune,AHTI,,9 mm,"Matt
RT R10 B",€/mq,,53.05,59.7,low
214,14,28,Histoire,Histoire base tiles,Beaune,AHTN,,9 mm,"Matt
RT R10 B",€/mq,,44.1,49.6,low
215,14,28,Histoire,Histoire base tiles,Beaune,AHT2,,20 mm,"Aextra20
RT R11 C",€/mq,,100.75,113.3,low
216,14,28,Histoire,Histoire base tiles,Beaune,AHTZ,,20 mm,"Aextra20
RT R11 C",€/mq,,91.9,103.35,low
217,14,28,Histoire,Histoire base tiles,Reims,AHS6,,9 mm,"Matt
RT R10 B",€/mq,,66.85,75.2,low
218,14,28,Histoire,Histoire base tiles,Reims,AHTB,,9 mm,"Grip
RT R11 C",€/mq,,70.2,78.95,low
219,14,28,Histoire,Histoire base tiles,Reims,AHTX,,9 mm,"Matt
RT R10 B",€/mq,,65.05,73.3,low
220,14,28,Histoire,Histoire base tiles,Reims,AHTJ,,9 mm,"Matt
RT R10 B",€/mq,,55.7,62.05,low
